underlying,underlying_last,type,expiration,quotedate,strike,last,change,bid,ask,volume,openinterest
GME,166.82,call,07/09/2021,07/15/2021,610.00,0.75,0,0,0,0,41
GME,166.82,put,07/09/2021,07/15/2021,620.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,620.00,0.01,0,0,0,0,15
GME,166.82,put,07/09/2021,07/15/2021,630.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,630.00,0.08,0,0,0,0,33
GME,166.82,put,07/09/2021,07/15/2021,640.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,640.00,0.01,0,0,0,0,88
GME,166.82,put,07/09/2021,07/15/2021,650.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,650.00,0.01,0,0,0,0,914
GME,166.82,put,07/09/2021,07/15/2021,660.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,660.00,0.01,0,0,0,0,135
GME,166.82,put,07/09/2021,07/15/2021,670.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,670.00,0.01,0,0,0,0,789
GME,166.82,put,07/09/2021,07/15/2021,680.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,680.00,0.01,0,0,0,0,6992
GME,166.82,put,07/16/2021,07/15/2021,0.50,0.01,0,0,0.01,0,148604
GME,166.82,call,07/16/2021,07/15/2021,0.50,182.00,0,162.65,170.50,0,1
GME,166.82,put,07/16/2021,07/15/2021,1.00,0.01,0,0,0,0,30334
GME,166.82,call,07/16/2021,07/15/2021,1.00,215.80,0,162.15,170.00,0,0
GME,166.82,put,07/16/2021,07/15/2021,1.50,0.01,0,0,0,0,5338
GME,166.82,call,07/16/2021,07/15/2021,1.50,273.20,0,161.65,169.50,0,1
GME,166.82,put,07/16/2021,07/15/2021,2.00,0.01,0,0,0,0,8919
GME,166.82,call,07/16/2021,07/15/2021,2.00,272.70,0,161.15,169.00,0,0
GME,166.82,put,07/16/2021,07/15/2021,2.50,0.01,0,0,0.01,0,4231
GME,166.82,call,07/16/2021,07/15/2021,2.50,97.39,0,160.65,168.50,0,0
GME,166.82,put,07/16/2021,07/15/2021,3.00,0.01,0,0,0,4,3959
GME,166.82,call,07/16/2021,07/15/2021,3.00,41.96,0,160.15,168.00,0,0
GME,166.82,put,07/16/2021,07/15/2021,3.50,0.01,0,0,0.01,0,2158
GME,166.82,call,07/16/2021,07/15/2021,3.50,44.45,0,159.65,167.50,0,0
GME,166.82,put,07/16/2021,07/15/2021,4.00,0.01,0,0,0,0,7416
GME,166.82,call,07/16/2021,07/15/2021,4.00,192.00,0,159.15,167.00,0,10
GME,166.82,put,07/16/2021,07/15/2021,4.50,0.01,0,0,0,0,1408
GME,166.82,call,07/16/2021,07/15/2021,4.50,62.76,0,158.65,166.50,0,0
GME,166.82,put,07/16/2021,07/15/2021,5.00,0.01,0,0,0,11,18874
GME,166.82,call,07/16/2021,07/15/2021,5.00,214.20,0,158.15,165.45,0,1
GME,166.82,put,07/16/2021,07/15/2021,5.50,0.01,0,0,0.01,0,3668
GME,166.82,call,07/16/2021,07/15/2021,5.50,62.79,0,157.65,165.50,0,0
GME,166.82,put,07/16/2021,07/15/2021,6.00,0.01,0,0,0.01,0,7250
GME,166.82,call,07/16/2021,07/15/2021,6.00,95.00,0,157.15,164.95,0,0
GME,166.82,put,07/16/2021,07/15/2021,7.00,0.01,0,0,0.01,0,6661
GME,166.82,call,07/16/2021,07/15/2021,7.00,156.62,-55.88,156.15,164.00,3,3
GME,166.82,put,07/16/2021,07/15/2021,8.00,0.01,0,0,0.01,0,3060
GME,166.82,call,07/16/2021,07/15/2021,8.00,119.00,0,155.15,161.90,0,0
GME,166.82,put,07/16/2021,07/15/2021,9.00,0.01,0,0,0.01,59,1943
GME,166.82,call,07/16/2021,07/15/2021,9.00,92.10,0,154.15,162.00,0,1
GME,166.82,put,07/16/2021,07/15/2021,10.00,0.01,0,0,0.01,0,16304
GME,166.82,call,07/16/2021,07/15/2021,10.00,189.20,0,153.15,160.95,0,6
GME,166.82,put,07/16/2021,07/15/2021,11.00,0.01,0,0,0.01,0,948
GME,166.82,call,07/16/2021,07/15/2021,11.00,169.10,0,152.15,159.95,0,0
GME,166.82,put,07/16/2021,07/15/2021,12.00,0.01,0,0,0.01,0,9240
GME,166.82,call,07/16/2021,07/15/2021,12.00,151.00,-97.05,151.15,158.95,6,5
GME,166.82,put,07/16/2021,07/15/2021,13.00,0.01,0,0,10.65,0,665
GME,166.82,call,07/16/2021,07/15/2021,13.00,108.20,0,150.15,157.95,0,2
GME,166.82,put,07/16/2021,07/15/2021,14.00,0.01,0,0,0.01,0,2036
GME,166.82,call,07/16/2021,07/15/2021,14.00,34.20,0,149.15,156.95,0,2
GME,166.82,put,07/16/2021,07/15/2021,15.00,0.01,0,0,0.01,0,10028
GME,166.82,call,07/16/2021,07/15/2021,15.00,148.00,-7.55,148.15,153.40,1,136
GME,166.82,put,07/16/2021,07/15/2021,16.00,0.01,0,0,0.01,0,5168
GME,166.82,call,07/16/2021,07/15/2021,16.00,197.00,0,147.15,154.95,0,17
GME,166.82,put,07/16/2021,07/15/2021,17.00,0.01,0,0,0,0,1937
GME,166.82,call,07/16/2021,07/15/2021,17.00,224.20,0,146.15,153.95,0,15
GME,166.82,put,07/16/2021,07/15/2021,20.00,0.01,0,0,0.01,1,20818
GME,166.82,call,07/16/2021,07/15/2021,20.00,145.10,-7.70,143.15,150.00,1,45
GME,166.82,put,07/16/2021,07/15/2021,21.00,0.01,0,0,0.02,0,1042
GME,166.82,call,07/16/2021,07/15/2021,21.00,145.61,-57.44,142.15,149.95,1,48
GME,166.82,put,07/16/2021,07/15/2021,22.00,0.01,0,0,0.02,0,788
GME,166.82,call,07/16/2021,07/15/2021,22.00,155.30,0,141.15,147.15,0,209
GME,166.82,put,07/16/2021,07/15/2021,23.00,0.01,0,0,0.01,0,693
GME,166.82,call,07/16/2021,07/15/2021,23.00,140.37,-19.98,140.15,145.25,24,97
GME,166.82,put,07/16/2021,07/15/2021,24.00,0.01,0,0,0.01,0,401
GME,166.82,call,07/16/2021,07/15/2021,24.00,164.65,0,139.15,143.90,0,212
GME,166.82,put,07/16/2021,07/15/2021,25.00,0.01,0,0,0.01,1,4861
GME,166.82,call,07/16/2021,07/15/2021,25.00,143.00,-22.00,138.15,143.25,1,455
GME,166.82,put,07/16/2021,07/15/2021,26.00,0.01,0,0,0.01,0,137
GME,166.82,call,07/16/2021,07/15/2021,26.00,133.25,0,137.15,144.95,0,22
GME,166.82,put,07/16/2021,07/15/2021,27.00,0.01,0,0,0.01,0,318
GME,166.82,call,07/16/2021,07/15/2021,27.00,164.30,0,136.15,141.10,0,279
GME,166.82,put,07/16/2021,07/15/2021,28.00,0.02,0.01,0,0.03,1,171
GME,166.82,call,07/16/2021,07/15/2021,28.00,155.40,0,135.15,142.95,0,2
GME,166.82,put,07/16/2021,07/15/2021,29.00,0.02,0,0,0.02,0,1036
GME,166.82,call,07/16/2021,07/15/2021,29.00,286.00,0,134.15,141.15,0,1
GME,166.82,put,07/16/2021,07/15/2021,30.00,0.01,0,0,0.01,22,17655
GME,166.82,call,07/16/2021,07/15/2021,30.00,131.55,-10.64,133.15,139.90,2,198
GME,166.82,put,07/16/2021,07/15/2021,31.00,0.01,0,0,0.01,0,258
GME,166.82,call,07/16/2021,07/15/2021,31.00,129.31,-39.24,132.15,139.95,1,10
GME,166.82,put,07/16/2021,07/15/2021,32.00,0.01,0,0,0.02,0,786
GME,166.82,call,07/16/2021,07/15/2021,32.00,61.00,0,131.15,138.95,0,0
GME,166.82,put,07/16/2021,07/15/2021,33.00,0.30,0,0,0.01,0,1128
GME,166.82,call,07/16/2021,07/15/2021,33.00,196.70,0,130.15,137.95,0,2
GME,166.82,put,07/16/2021,07/15/2021,34.00,0.01,0,0,0.02,0,405
GME,166.82,call,07/16/2021,07/15/2021,34.00,186.60,0,129.15,134.25,0,408
GME,166.82,put,07/16/2021,07/15/2021,35.00,0.02,0,0,0.01,0,1588
GME,166.82,call,07/16/2021,07/15/2021,35.00,137.00,0,128.15,133.25,0,190
GME,166.82,put,07/16/2021,07/15/2021,36.00,0.01,0,0,0.07,0,152
GME,166.82,call,07/16/2021,07/15/2021,36.00,182.50,0,127.15,133.15,0,90
GME,166.82,put,07/16/2021,07/15/2021,37.00,0.02,0,0,0.06,0,194
GME,166.82,call,07/16/2021,07/15/2021,37.00,275.80,0,126.15,132.15,0,61
GME,166.82,put,07/16/2021,07/15/2021,38.00,0.03,0,0,0.06,0,108
GME,166.82,call,07/16/2021,07/15/2021,38.00,104.00,0,125.15,132.95,0,2
GME,166.82,put,07/16/2021,07/15/2021,39.00,0.01,0,0,0.01,0,272
GME,166.82,call,07/16/2021,07/15/2021,39.00,174.62,0,124.15,131.75,0,64
GME,166.82,put,07/16/2021,07/15/2021,40.00,0.01,0,0,0.01,22,7659
GME,166.82,call,07/16/2021,07/15/2021,40.00,127.37,-6.19,123.15,128.25,1,379
GME,166.82,put,07/16/2021,07/15/2021,41.00,0.04,0,0,0.12,0,189
GME,166.82,call,07/16/2021,07/15/2021,41.00,168.00,0,122.15,128.15,0,94
GME,166.82,put,07/16/2021,07/15/2021,42.00,0.07,0,0,0.02,0,639
GME,166.82,call,07/16/2021,07/15/2021,42.00,127.55,0,121.15,128.95,0,3
GME,166.82,put,07/16/2021,07/15/2021,43.00,0.04,0,0,0.02,0,220
GME,166.82,call,07/16/2021,07/15/2021,43.00,171.35,0,120.15,127.95,0,16
GME,166.82,put,07/16/2021,07/15/2021,44.00,0.01,0,0,0.01,0,111
GME,166.82,call,07/16/2021,07/15/2021,44.00,134.65,0,119.15,126.75,0,77
GME,166.82,put,07/16/2021,07/15/2021,45.00,0.01,0,0,0.01,11,1338
GME,166.82,call,07/16/2021,07/15/2021,45.00,154.00,0,118.15,125.95,0,30
GME,166.82,put,07/16/2021,07/15/2021,46.00,0.01,0,0,0.02,2,286
GME,166.82,call,07/16/2021,07/15/2021,46.00,133.50,0,117.15,123.15,0,63
GME,166.82,put,07/16/2021,07/15/2021,47.00,0.01,0,0,0.03,0,323
GME,166.82,call,07/16/2021,07/15/2021,47.00,218.45,0,116.15,123.95,0,13
