DATE SYMBOL CUSIP
2020-07-15 CHIS 37954Y558
2020-07-15 CRC 13057Q206
2020-07-15 EWH 464286871
2020-07-15 EWI 46434G830
2020-07-15 FXI 464287184
2020-07-15 GSSC 381430602
2020-07-15 HIBS 25460E331
2020-07-15 HSMV 33741Y100
2020-07-15 HTZ 42806J106
2020-07-15 IDRV 46435U366
2020-07-15 IWM 464287655
2020-07-15 JOYY 45687D106
2020-07-15 KOLD 74347W387
2020-07-15 LCR 527289789
2020-07-15 LGH 66538R730
2020-07-15 MARB 33740J203
2020-07-15 ONLN 74347B169
2020-07-15 PHDG 46090A705
2020-07-15 PPTY 26922A511
2020-07-15 QQH 66538R748
2020-07-15 SGDJ 85210B201
2020-07-15 TLRD 87403A107
2020-07-15 TMF 25459W540
2020-07-15 URTY 74347X799
2020-07-15 UWM 74347R842
2020-07-15 VAL G9402V109
2020-07-15 WFH 25460G773
2020-07-15 WLL 966387409
2020-07-15 XBUY 032108870
2020-07-15 XLSR 78470P408
2020-07-16 AAAU 715426102
2020-07-16 AMC 00165C104
2020-07-16 CHAU 25490K869
2020-07-16 CHIS 37954Y558
2020-07-16 CRC 13057Q206
2020-07-16 EWH 464286871
2020-07-16 EWI 46434G830
2020-07-16 FXI 464287184
2020-07-16 HIBS 25460E331
2020-07-16 HSMV 33741Y100
2020-07-16 HTZ 42806J106
2020-07-16 IDNA 46435U192
2020-07-16 IDRV 46435U366
2020-07-16 IWM 464287655
2020-07-16 JOYY 45687D106
2020-07-16 KOLD 74347W387
2020-07-16 LCR 527289789
2020-07-16 LGH 66538R730
2020-07-16 MARB 33740J203
2020-07-16 ONLN 74347B169
2020-07-16 PHDG 46090A705
2020-07-16 PPTY 26922A511
2020-07-16 QQH 66538R748
2020-07-16 SGDJ 85210B201
2020-07-16 TLRD 87403A107
2020-07-16 TMF 25459W540
2020-07-16 URTY 74347X799
2020-07-16 UWM 74347R842
2020-07-16 VAL G9402V109
2020-07-16 WFH 25460G773
2020-07-16 XBUY 032108870
2020-07-17 AAAU 715426102
2020-07-17 AMC 00165C104
2020-07-17 CHIS 37954Y558
2020-07-17 EWH 464286871
2020-07-17 EWI 46434G830
2020-07-17 HIBS 25460E331
2020-07-17 HSMV 33741Y100
2020-07-17 IDNA 46435U192
2020-07-17 IDRV 46435U366
2020-07-17 IWM 464287655
2020-07-17 JOYY 45687D106
2020-07-17 KOLD 74347W387
2020-07-17 LCR 527289789
2020-07-17 LGH 66538R730
2020-07-17 MARB 33740J203
2020-07-17 ONLN 74347B169
2020-07-17 PHDG 46090A705
2020-07-17 PPTY 26922A511
2020-07-17 QQH 66538R748
2020-07-17 SGDJ 85210B201
2020-07-17 TLRD 87403A107
2020-07-17 TMF 25459W540
2020-07-17 UAVS 00848K101
2020-07-17 URTY 74347X799
2020-07-17 UWM 74347R842
2020-07-17 VAL G9402V109
2020-07-17 WFH 25460G773
2020-07-17 XBUY 032108870
2020-07-20 AAAU 715426102
2020-07-20 AMC 00165C104
2020-07-20 CHIS 37954Y558
2020-07-20 DIVO 032108409
2020-07-20 EWH 464286871
2020-07-20 EWI 46434G830
2020-07-20 EWP 464286764
2020-07-20 HIBS 25460E331
2020-07-20 HSMV 33741Y100
2020-07-20 IDNA 46435U192
2020-07-20 IDRV 46435U366
2020-07-20 JOYY 45687D106
2020-07-20 KOLD 74347W387
2020-07-20 LCR 527289789
2020-07-20 LGH 66538R730
2020-07-20 MARB 33740J203
2020-07-20 ONLN 74347B169
2020-07-20 PHDG 46090A705
2020-07-20 PPTY 26922A511
2020-07-20 QQH 66538R748
2020-07-20 SGDJ 85210B201
2020-07-20 TLRD 87403A107
2020-07-20 TMF 25459W540
2020-07-20 UAVS 00848K101
2020-07-20 UWM 74347R842
2020-07-20 VAL G9402V109
2020-07-20 WFH 25460G773
2020-07-20 XBUY 032108870
2020-07-21 AAAU 715426102
2020-07-21 CHIS 37954Y558
2020-07-21 DIVO 032108409
2020-07-21 EWH 464286871
2020-07-21 EWI 46434G830
2020-07-21 EWP 464286764
2020-07-21 HIBS 25460E331
2020-07-21 HSMV 33741Y100
2020-07-21 IDNA 46435U192
2020-07-21 IDRV 46435U366
2020-07-21 KOLD 74347W387
2020-07-21 LCR 527289789
2020-07-21 LGH 66538R730
2020-07-21 MARB 33740J203
2020-07-21 ONLN 74347B169
2020-07-21 PHDG 46090A705
2020-07-21 PPTY 26922A511
2020-07-21 SGDJ 85210B201
2020-07-21 TLRD 87403A107
2020-07-21 TMF 25459W540
2020-07-21 UAVS 00848K101
2020-07-21 UWM 74347R842
2020-07-21 VAL G9402V109
2020-07-21 WEBS 25460E356
2020-07-21 WFH 25460G773
2020-07-21 XBUY 032108870
2020-07-22 AAAU 715426102
2020-07-22 CHIS 37954Y558
2020-07-22 DIVO 032108409
2020-07-22 EWH 464286871
2020-07-22 EWI 46434G830
2020-07-22 EWP 464286764
2020-07-22 HIBS 25460E331
2020-07-22 HSMV 33741Y100
2020-07-22 IDNA 46435U192
2020-07-22 IDRV 46435U366
2020-07-22 LCR 527289789
2020-07-22 LGH 66538R730
2020-07-22 MARB 33740J203
2020-07-22 ONLN 74347B169
2020-07-22 PHDG 46090A705
2020-07-22 SGDJ 85210B201
2020-07-22 TLRD 87403A107
2020-07-22 TMF 25459W540
2020-07-22 UAVS 00848K101
2020-07-22 UWM 74347R842
2020-07-22 VAL G9402V109
2020-07-22 WEBS 25460E356
2020-07-22 WFH 25460G773
2020-07-22 XBUY 032108870
2020-07-23 AAAU 715426102
2020-07-23 CHIS 37954Y558
2020-07-23 DEHU G2614K102
2020-07-23 DIVO 032108409
2020-07-23 EWH 464286871
2020-07-23 EWI 46434G830
