underlying,underlying_last,type,expiration,quotedate,strike,last,change,bid,ask,volume,openinterest
AMC,33.43,call,08/20/2021,07/14/2021,60.00,2.55,-1.05,2.51,2.55,2666,8745
AMC,33.43,put,08/20/2021,07/14/2021,65.00,32.95,4.30,33.60,34.00,85,1718
AMC,33.43,call,08/20/2021,07/14/2021,65.00,2.17,-0.83,2.14,2.24,1042,11675
AMC,33.43,put,08/20/2021,07/14/2021,70.00,35.20,1.90,38.35,38.80,35,5318
AMC,33.43,call,08/20/2021,07/14/2021,70.00,1.86,-0.66,1.86,1.90,1331,13966
AMC,33.43,put,08/20/2021,07/14/2021,75.00,37.56,0,43.10,43.70,0,385
AMC,33.43,call,08/20/2021,07/14/2021,75.00,1.65,-0.56,1.64,1.79,618,11454
AMC,33.43,put,08/20/2021,07/14/2021,80.00,45.90,7.60,47.95,48.40,18,184
AMC,33.43,call,08/20/2021,07/14/2021,80.00,1.48,-0.46,1.47,1.50,886,3545
AMC,33.43,put,08/20/2021,07/14/2021,85.00,51.55,3.70,52.50,53.65,2,141
AMC,33.43,call,08/20/2021,07/14/2021,85.00,1.33,-0.47,1.34,1.39,206,1208
AMC,33.43,put,08/20/2021,07/14/2021,90.00,56.10,3.45,57.75,58.20,5,386
AMC,33.43,call,08/20/2021,07/14/2021,90.00,1.23,-0.35,1.23,1.34,575,3453
AMC,33.43,put,08/20/2021,07/14/2021,95.00,57.55,0,62.70,63.15,0,286
AMC,33.43,call,08/20/2021,07/14/2021,95.00,1.17,-0.31,1.17,1.26,185,895
AMC,33.43,put,08/20/2021,07/14/2021,100.00,66.20,4.15,67.65,68.15,2,446
AMC,33.43,call,08/20/2021,07/14/2021,100.00,1.08,-0.27,1.07,1.11,1729,5051
AMC,33.43,put,08/20/2021,07/14/2021,105.00,60.60,0,72.40,73.15,0,142
AMC,33.43,call,08/20/2021,07/14/2021,105.00,1.01,-0.25,1.01,1.08,454,921
AMC,33.43,put,08/20/2021,07/14/2021,110.00,71.42,0,77.40,77.90,0,120
AMC,33.43,call,08/20/2021,07/14/2021,110.00,0.99,-0.19,0.96,1.02,96,1182
AMC,33.43,put,08/20/2021,07/14/2021,115.00,70.75,0,82.30,82.90,0,88
AMC,33.43,call,08/20/2021,07/14/2021,115.00,0.92,-0.23,0.94,1.00,197,2024
AMC,33.43,put,08/20/2021,07/14/2021,120.00,85.70,7.45,87.30,87.90,12,72
AMC,33.43,call,08/20/2021,07/14/2021,120.00,0.89,-0.19,0.88,0.95,158,1984
AMC,33.43,put,08/20/2021,07/14/2021,125.00,90.65,6.76,92.25,92.85,8,49
AMC,33.43,call,08/20/2021,07/14/2021,125.00,0.93,-0.07,0.85,0.92,236,920
AMC,33.43,put,08/20/2021,07/14/2021,130.00,95.90,11.45,97.10,97.85,27,52
AMC,33.43,call,08/20/2021,07/14/2021,130.00,0.85,-0.16,0.82,0.87,46,584
AMC,33.43,put,08/20/2021,07/14/2021,135.00,100.85,7.70,102.05,102.70,2,50
AMC,33.43,call,08/20/2021,07/14/2021,135.00,0.84,-0.11,0.80,0.85,195,763
